"고유번호","언어","상호명","주소","신주소","전화번호","웹사이트","운영시간","운영요일","휴무일","교통정보"
"31922","ko","노들섬"," 서울 용산구 이촌동 302-146 노들섬","04427 서울 용산구 양녕로 445 (이촌동) 노들섬 ","+82-2-749-4500","http://nodeul.org/","하절기(3월~10월)화요일~금요일 10:00 - 21:00 / 주말.공휴일 10:00 - 22:00 동절기(11월~2월)화요일~일요일 10:00 - 20:00 야외공간24시간 개방","","","1호선 용산역 1번출구에서 신용산역 정류장 (03-004) 이동-노들섬 방면 버스 탑승-노들섬 정류장 (03-340) 하차  4호선 신용산역 3번출구에서  신용산역 정류장 (03-004) 이동-노들섬 방면 버스 탑승-노들섬 정류장 (03-340) 하차 9호선 노들역 2번출구에서 한강대교 방면 600m 이동"
"35072","ko","난지천공원"," 서울 마포구 상암동 1538 ","03900 서울 마포구 월드컵로 365 (난지천공원 잔디광장매점) 난지천공원 주차장","","","","","",""
"36843","ko","금선사"," 서울 종로구 구기동 196-2 ","03000 서울 종로구 비봉길 137 (구기동, 금선사) ","02-395-9911","http://www.geumsunsa.org/","","","",""
"37364","ko","안산"," 서울 서대문구 봉원동 산 2-1 ","03721  ","","","","","","무악재역4번 출구에서3224m"
"1943","ko","용마폭포공원","131-812 서울 중랑구 면목동 산 1-4 ","02257 서울 중랑구 용마산로 250-12 (면목동, 용마폭포공원관리사무소) ","02-2094-2965","http://www.jungnang.go.kr/portal/main/contents.do?menuNo=200599","※ 인공폭포 가동기간 : 5~8월(4개월간) 탄력적운영","월~일","","7호선 용마산역 2번 출구 도보 5분"
"2189","ko","보라매공원","156-849 서울 동작구 신대방동 395 ","07062 서울 동작구 여의대방로20길 33 (신대방동, 보라매공원) ","02-2181-1114","http://parks.seoul.go.kr/template/sub/boramae.do","보라매공원 정문주차장 09:00~ 22:00","","","7호선 보라매역 2번 출구 도보 15분    2호선 신대방역 4번 출구 도보 10분"
"3599","ko","도봉산","132-010 서울 도봉구 도봉동 경기 의정부시, 양주시 장흥면 일대","132-010 서울특별시 도봉구 도봉동 경기 의정부시, 양주시 장흥면 일대 ","02-954-2566","https://tour.dobong.go.kr/Contents.asp?code=10006251","07:30 ~ 18:00 (3월~10월) 08:00 ~ 17:00 (11월~2월)","매일","","7호선 도봉산 1번 출구 도보 10분  1호선 도봉산 1번 출구 도보 10분  "
"3701","ko","낙산공원","110-510 서울 종로구 동숭동 산 2-10 ","03085 서울 종로구 낙산길 41 (동숭동) ","02-743-7985","http://parks.seoul.go.kr/template/sub/naksan.do","낙산 전시관 09:00 ~ 18:00 (동절기 09:00 ~ 17:00) ※공원은 24시간 개방","","","4호선 혜화 2번 출구 도보 10분  6호선 창신 3번 출구 03번 버스 환승 후 낙산종점 하차  1호선 동대문 5번 출구 03번 버스 환승 후 낙산종점 하차  "
"5032","ko","여의도샛강생태공원","150-913 서울 영등포구 여의도동 4-9 330","07323 서울 영등포구 여의동로 48 (여의도샛강생태공원 방문자센터) ","02-3780-0570","http://hangang.seoul.go.kr/archives/316/","","월~일","","9호선 샛강역 4번 출구 자이아파트(윤중중학교) 삼거리 방향 약 650m(약 15분) 5호선 여의도역 1번 출구 광장아파트(윤중초등학교) 삼거리 방향 약 500m(약 10분) 1호선 대방역 6번출구 여의교 건너 좌측 윤중초등하교 방향약 900m(약 20분)"
"39306","ko","인왕산 야경"," 서울 종로구 무악동 산 2-7 ","03023 서울 종로구 통일로18나길 3 ","02-2148-1114","","","매일","","3호선 무악재역 1번 출구에서 792m"
"6606","ko","토성산성어울길"," 서울특별시 송파구 오륜동 몽촌토성"," 서울특별시 송파구 올림픽로 424  (방이동) 올림픽공원","02-2147-2000","","","","","8호선 몽촌토성역 1번 출구"
"11072","ko","홍익문화공원"," 서울 마포구 서교동 358-36 서교빌딩","04040 서울 마포구 와우산로21길 19-3 서교빌딩","02-120","","","","","6호선 상수역2번 출구에서 600m 이내"
"27688","ko","서래섬","137-040 서울 서초구 반포동 115-5 ","06500 서울 서초구 신반포로11길 40 (반포동, 한강공원 반포 안내센터) ","02-3780-0541","","24시간","","연중무휴","9호선 동작역 2번 출구 7호선 고속터미널역 8-1번 출구"
"29945","ko","서소문역사공원","100-142 서울 중구 의주로2가 16-72 ","04510 서울 중구 칠패로 5 (서소문공원) ","02-313-7986","https://www.seosomun.org/retrieveContents.do?mCode=111","09:30~17:30","화~일","월요일","2호선 충정로역 4번 출구"
"35622","ko","화랑대 철도공원"," 서울 노원구 공릉동 29-4 ","01802 서울 노원구 화랑로 608 (공릉동) 화랑대 철도공원","","","연중무휴","","","6호선 화랑대역 4번 출구"
"42009","ko","남산예장공원"," 서울 중구 예장동 4-1 ","04628 서울 중구 퇴계로26길 36 (예장동) ","","","","","",""
"2100","ko","망우리공원"," 서울 중랑구 망우동 산 57-1 ","02178 서울 중랑구 망우로91길 2 (망우동) ","02-2094-6824","http://www.jungnang.go.kr/portal/main/contents.do?menuNo=200601","","","","경의중앙선 양원역 2번 출구  "
"2263","ko","감로천 생태공원 ","153-815 서울 금천구 독산4동 371?375, 373일대 ","08556 서울 금천구 독산로54길 188 (독산동, 금천구민문화체육센터) ","02-2627-2395","http://parks.seoul.go.kr/parks/detailView.do?pIdx=39","","","","1호선(경부선) 금천구청역 난곡중각교 방향 08번 버스 환승 문화체육센터 앞 하차 "
"2841","ko","망원 한강공원","121-230 서울 마포구 망원동 205-4","04005 서울특별시 마포구 마포나루길 467 (망원동) 한강공원망원지구사무소 ","02-3780-0601","https://hangang.seoul.go.kr/archives/46737","24시간","","","6호선 망원 1번 출구에서 9번 버스 이용 (2000m)  2호선 합정 1번 출구에서 16번 버스 이용 (1500m)  "
"3798","ko","백악(북악)산 (서울 한양도성)","110-041 서울 종로구 누상동 산 1-3 일원","03038 서울 종로구 옥인6길 26-17 ","02-730-9924","https://www.chf.or.kr/cms/content/view/246","봄,가을(3~4월,9~10월)  07:00 - 18:00 (16시까지 입산) 여름(5~8월) 07:00 - 19:00 (17시까지 입산) 겨울(11~2월) 09:00 - 17:00 (15시까지 입산)","연중무휴","","1. 지하철 3호선 경복궁역 3번 출구로 나옴 2. 지선(초록)버스 7212,1020,7022번 탑승하여 자하문 고개 윤동주 문학관 하차 후 걸어서 2분"
"8020","ko","화랑로 낙엽거리","139-240 서울 노원구 공릉동 육군사관학교 일대","01805 서울특별시 노원구 공릉동 육군사관학교 일대 ","02-120","","","","","6호선 화랑대 도보 10분"
"29798","ko","우이동계곡","142-871 서울 강북구 우이동 234-1 ","01000 서울 강북구 삼양로181길 141-5 (우이산장) ","02-997-8365 (북한산국립공원 우이분소)","","","","","우이신설경전철 북한산우이역 1, 2번 출구"
"37010","ko","광진숲나루"," 서울 광진구 광장동 401-16 ","04982 서울 광진구 광장로 11 ","","","","","","5호선 광나루역 1번 출구"
"39707","ko","효창공원"," 서울 용산구 효창동 255 ","04311 서울 용산구 효창원로 177-18 (효창공원) ","","","","매일","","경의중앙, 6호선 효창공원앞역 1번 출구에서 664m"
"39708","ko","춘당지"," 서울 종로구 와룡동 2-1 ","03072 서울 종로구 창경궁로 185 (와룡동, 창경궁) "," 02-762-4868 ","http://cgg.cha.go.kr/agapp/public/html/HtmlPage.do?pg=/cgg/01/virtual_01.jsp&pageNo=79010000&siteCd=CGG","09:00 ~ 20:00 (매표 및 입장시간) 09:00 ~ 21:00 (관람시간)","화~일","월요일","4호선 혜화역 4번 출구에서 1175m"
"379","ko","선유도 공원","150-040 서울 영등포구 당산동 1 ","07200 서울 영등포구 선유로 343 (당산동, 선유도공원) ","02-2631-9368","http://parks.seoul.go.kr/template/sub/seonyudo.do","06:00 ~ 24:00  공원 06:00 ~ 24:00  전시관 : 09:00 ~ 18:00","월~일","",""
"1136","ko","석촌호수공원 ","138-915 서울 송파구 잠실동 47 ","05608 서울 송파구 삼학사로 136 (서울놀이마당) ","02-412-0190","","","매일","연중무휴","2호선 잠실역 2번, 3번 출구로 나와서 도보로 200미터 "
"2029","ko","홍릉시험림(홍릉숲)"," 서울 동대문구 청량리동 207 ","02455 서울 동대문구 회기로 57 (청량리동, 국립산림과학원) ","02-961-2777","http://nifos.forest.go.kr/kfsweb/kfi/kfs/cms/cmsView.do?cmsId=FC_001635&mn=UKFR_02_05_02_01","평일 10:30 - 15:30 3월~11월(화~금)-숲해설(10:30, 13:30, 15:30) 주말 09:00 - 18:00 3월~10월(하절기)-자유관람 주말 09:00 - 17:00 11월~2월(동절기)-자유관람 주말 10:30 - 14:00 3월~11월-숲해설(10:30, 14:00)","화~일","-월요일 -5월 1일 -법정공휴일(단, 토요일 또는 일요일이 법정공휴일인 경우엔 휴무)","6호선 고려대역 3번 출구 도보 약 15분    1호선 청량리역 2번 출구 도보 약 20분 "
"2158","ko","양재시민의 숲","137-130 서울 서초구 양재2동 236","06773 서울특별시 서초구 매헌로 99 (양재동) ","02-575-3895","http://parks.seoul.go.kr/citizen","00:00 ~ 24:00","매일","","신분당선 양재시민의숲역(매헌) 5번 출구에서 484m  "
"2210","ko","몽촌토성","138-050 서울 송파구 방이동 88","05540 서울특별시 송파구 올림픽로 424  (방이동) ","02-2147-2001","","몽촌토성  도보나 자전거 출입 : 05:00 ~ 22:00  차량 출입 : 06:00 ~ 22:00  몽촌역사관  09:00 ~ 18:00 ","매일","","8호선 몽촌토성 1번 출구 5호선(마천방면) 올림픽공원 3번 출구 도보 15분  "
"2257","ko","불광천"," 서울 은평구 불광동 서대문구 북가좌동 일대 "," 서울 은평구 불광동 서대문구 북가좌동 일대 ","","","","","","6호선 증산역 1번, 2번 출구 도보 5분    6호선 응암역 4번 출구 도보 5분    6호선 새절역 1번, 2번 출구 도보 5분 "
"2287","ko","홍제천","120-090 서울 서대문구 홍제동 종로구, 서대문구, 마포구 일대","120-090 서울특별시 서대문구 홍제동 종로구, 서대문구, 마포구 일대 ","02-330-1025","http://www.sdm.go.kr/hongje","음악분수(4월3일~10월31일) 4,5,9,10월 9:00 ~ 19:00 6,7,8월 8:00 ~ 20:00  인공폭포(4월3일~10월31일) 12:00 ~ 13:00 (1시간) 13:30 ~ 14:00 (30분) 14:30 ~ 15:00 (30분) 15:30 ~ 16:00 (30분) 16:30 ~ 17:00 (30분) 17:30 ~ 18:00 (30분)","","","3호선 홍제 1번, 4번 출구 도보 5분 6호선 마포구청 2번, 3번 출구 도보 5분"
"3008","ko","낙성대 공원","151-851 서울 관악구 봉천동 228 ","08799 서울 관악구 낙성대로 77 (봉천동, 낙성대공원) ","02-879-6519","http://www.gwanak.go.kr/site/gwanak/05/10503010100002016051205.jsp","","","","2호선 낙성대 4번 출구 "
"3617","ko","이촌 한강공원","140-031 서울시 용산구 이촌동 302-17 ","140-031 서울특별시 용산구 이촌로72길 62  (이촌동) ","02-3780-0551","https://hangang.seoul.go.kr/archives/46695","","","","중앙선 이촌 4번 출구 도보 10분  4호선 이촌 4번 출구 도보 10분  "
"3840","ko","인왕산","110-080 서울 종로구 무악동 산 2","110-080 서울특별시 종로구 통일로18가길 20  (무악동) ","02-2148-2834~5","","","매일","","3호선 독립문 1번, 3번 출구 도보 20분 3호선 경복궁 1번 출구 도보  20분"
"4023","ko","잠실 한강공원","138-220 서울 송파구 잠실동 1-1","138-220 서울특별시 송파구 한가람로 65  (잠실동) ","02-3780-0511","https://hangang.seoul.go.kr/archives/46639","","","","2호선 잠실나루 3, 4번 출구(900m)  2호선 잠실 6번 출구  "
"4928","ko","서서울호수공원","158-829 서울 양천구 신월동 149-20 공원관리사무소","07916 서울 양천구 남부순환로64길 20 (신월동, 공원관리사무소) ","02-2604-3004","http://parks.seoul.go.kr/template/sub/lakepark.do","","월~일","","5호선 화곡 7번 출구 나온 후 652, 6625, 6627번 버스 환승  5호선 까치산 4번 출구 나온 후 653번 버스 환승"
"11399","ko","뚝섬유원지"," 서울특별시 광진구 자양동 704-1 뚝섬 한강공원","05097 서울특별시 광진구 강변북로 139  (자양동) ","02-3780-0521","","","","","7호선 뚝섬유원지 2번.3번 출구 좌측방향 20m 지점 음악분수광장 부근"
"16321","ko","남산서울타워 야경","140-022 서울 용산구 용산동2가 산 1-3 ","04340 서울 용산구 남산공원길 105 (용산동2가, YTN서울타워) ","02-3455-9277 / 9288","http://www.nseoultower.co.kr/index.asp","전망대: 평일 12:00 - 22:00/ 주말, 공휴일 11:00 - 22:00 ※ 영업시간은 기후상황에 따라 변경될 수 있음","월~일","연중무휴",""
"23466","ko","서울함 공원","121-889 서울 마포구 망원동 205-5 ","03954 서울 마포구 마포나루길 407 (망원동, 세븐일레븐) ","02-332-7500","http://seoulbattleshippark.com/xe/main","하절기(3~10월) 평일 10:00~19:00, 주말 10:00~20:00 동절기(11~2월) 평일 10:00~17:00, 주말 10:00~18:00 ","화~일","월요일","2호선 신촌역?홍대입구역(마을버스 9번) 환승 후 망원유수지 하차 도보 10분 6호선 망원역(마을버스 9번) 환승 후 망원유수지 하차 도보 10분 6호선 합정역(마을버스 16번) 환승 후 망원유수지 하차 도보 10분"
"27689","ko","아차산","143-816 서울 광진구 구의동 3-19 ","04948 서울 광진구 영화사로 135 (아차산등산로 입구) ","02-450-1395","","00:00~24:00","매일","","5호선 아차산역 2번 출구 5호선 광나루역 1번 출구"
"28280","ko","사직공원"," 서울 종로구 사직동 1-28 ","03027 서울 종로구 사직로 89 (사직동) ","02-2148-2835","http://parks.seoul.go.kr/parks/detailView.do?pIdx=106","","","연중무휴","3호선 경복궁역 1번 출구"
"29458","ko","솔밭근린공원","142-892 서울 강북구 우이동 80 ","01007 서울 강북구 삼양로 561 (우이동, 솔밭공원 관리실및화장실) ","02-901-6936","https://www.gangbuk.go.kr/tour/contents.do?key=352","","","","우이신설선 4.19민주묘지역 2번 출구에서 279m"
"29796","ko","푸른수목원","152-140 서울 구로구 항동 31 ","08361 서울 구로구 연동로 240 (항동, 푸른수목원) ","02-2686-3200","http://parks.seoul.go.kr/pureun","5:00~22:00 (축제 기간 및 행사 기간에 따라 변동될 수 있음)","매일","연중무휴","1호선 역곡역 1번 출구 1, 7호선 온수역 2, 4번 출구"
"29797","ko","백사실계곡","110-830 서울 종로구 신영동 115 ","03019 서울 종로구 세검정로6길 98 ","02-2148-2854","http://parks.seoul.go.kr/","","","","3호선 녹번역 2번 출구"
"35118","ko","한강예술공원","  ","  ","","http://hangangartpark.kr/main/","24시간","연중무휴","",""
"35307","ko","중랑캠핑숲"," 서울 중랑구 망우동 76 ","02062 서울 중랑구 망우로87길 110 (망우동, 캠핑장관리소) 중랑캠핑장","","http://www.joongrangsoop.com/","캠핑장 입실 13:00 ~ 퇴실 익일 11:00 바베큐장 입실 11:00 ~ 퇴실 21:30 ","매일","","1. 경의중앙선 : 양원역 2번출구에서 보도로 500m 2. 6호선 : 봉화산역 4번출구에서 지선 2113번 버스로 양원역 방면으로 탑승 3. 7호선 : 상봉역 2번출구에서 간선 262번 버스 탑승 후 북부노인병원 정류장에서 하차"
"36971","ko","살곶이길"," 서울 성동구 성수동2가 284-108 광나룻길","04792 서울 성동구 광나루로 200 ","","","","","","2호선 용답역 2번 출구에서 357m"
"1411","ko","강서습지생태공원 "," 서울특별시 강서구 방화동 47 ","07518 서울특별시 강서구 양천로27길 279-23 ","02-3780-0621","","교육 프로그램에 따라 차이가 있음. 홈페이지에서 진행 프로그램 참조. *단체 및 개인 관찰 -자유롭게 이용 (일출 전,일몰 후에는 출입 제한) ","","","5호선 방화역 1번, 2번 출구 도보 25분  "
"2275","ko","노원우주학교","139-863 서울 노원구 중계동 507-1 노원우주학교","01779 서울 노원구 동일로 동일로 205길 13 노원우주학교 ","02-971-6232","https://www.nowoncosmos.or.kr/","일반관람 09:30~17:30 천문대 야간관측 금요일, 토,일요일 19:30~21:00 (하절기 20:00~21:30)","","교육센터, 과학관 - 매주 월요일 휴무 공원은 휴무일 없음.","7호선 중계역 4번 출구 400미터  7호선 하계역 6번 출구 400미터  "
"3136","ko","청운공원"," 서울시 종로구 청운동 3-55 "," 서울시 종로구 창의문로 119 (청운동) ","","","","","","3호선 경복궁 3번 출구 1020번, 0212번, 7022번 버스 환승 "
"3828","ko","불암산","139-200 서울특별시 노원구 중계동 산26 불암산공원관리실 ","01716 서울특별시 노원구 덕릉로94길 73 (중계동) ","02-950-3395","https://www.nowon.kr/www/info/info1/info1_02.jsp","","","","4호선 당고개 1번,2번 출구 도보 15 ~ 20분 4호선 상계 1번,4번 출구 도보 20분"
"4064","ko","길동생태공원","134-808 서울 강동구 길동 3 ","05291 서울 강동구 천호대로 1291 (길동) ","02-472-2770","http://parks.seoul.go.kr/gildong","09:00 - 18:00   ","화~일","월요일","5호선 천호 6번 출구 341번,370번 버스 탑승  5호선 강동 4번 출구 300번, 361번, 370번, 341번 버스 탑승 길동생태공원 앞 하차  2호선 잠실 7번 출구 30-3번 버스 탑승 길동생태공원 앞 하차 "
"23543","ko","문화비축기지","121-250 서울 마포구 성산동 661 ","03914 서울 마포구 증산로 87 (성산동) ","02-376-8410","http://parks.seoul.go.kr/template/sub/culturetank.do","공원-연중무휴 상시개방 / 탱크-10:00~18:00","공원- 연중무휴 상시개방 / 탱크-화요일~일요일","월요일(탱크)","6호선 월드컵경기장역 2?3번 출구"
"28658","ko","소월길","  ","  ","","","","","",""
"28776","ko","어린이대공원 반려견 놀이터"," 서울 광진구 능동 18 ","04991 서울 광진구 능동로 216 (능동, 어린이대공원) ","02-2124-2835","","매일 00:00 - 24:00 (동절기 12.21.~다음해 1.31. 휴장)","","※ 단, 동절기(12월 ~2월) 및 우천 등으로 인해 바닥이 젖어 이용이 곤란한 경우에는 개장하지 않습니다. ※ 안전사고 방지 등을 위해 필요 시 운영을 중단할 수 있습니다.","7호선 어린이대공원역 2번 출구"
"36973","ko","서순라길"," 서울 종로구 종로3가 45-4 ","03139 서울 종로구 종로 지하 129 (1호선 종로3가역) ","","","","","",""
"37130","ko","일자산허브천문공원"," 서울 강동구 둔촌동 산86 ","134-060 서울 강동구 둔촌동 산86 ","","http://cafe.daum.net/herbparks/","","","",""
"37160","ko","경의선 숲길"," 서울시 마포구 연남동 "," 서울시 마포구 연남동 ","","","","","","2호선, 경의중앙 홍대입구역 3번 출구에서 456m"
"37952","ko","수성동계곡"," 서울 종로구 옥인동 185-3 ","03034 서울 종로구 옥인동 185-3 수성동 계곡","02-2148-2844","","","","",""
"1605","ko","응봉 암벽 등반 공원","133-080 서울 성동구 응봉동 269-4","04742 서울특별시 성동구 독서당로60길 13-1 (응봉동) ","02-2286-5674","","","","","중앙선 응봉역 1번 출구 도보 10분 "
"1799","ko","매화근린공원 ","157-839 서울특별시 강서구 등촌1동 630-13 ","  ","02-2600-4187","http://parks.seoul.go.kr/parks/detailView.do?pIdx=18","","월~일","","9호선 증미역 4번 출구  "
"1853","ko","어린이대공원"," 서울시 광진구 능동 18 ","04991 서울특별시 광진구 능동로 216, 서울어린이대공원(능동) ","02-450-9311","http://www.sisul.or.kr/open_content/childrenpark/","05:00 ~ 22:00 10:00~17:00 (동물원 이용시간 /계절 및 날씨등에 따라 일부 변경될 수 있음.)","매일","","5호선 아차산 4번 출구 도보 5분 7호선 어린이대공원 1번 출구 도보 5분 2호선 건대입구 3번 출구 도보 10 ~ 15분"
"3165","ko","수락산","139-200 서울 노원구 상계동 일대","139-200 서울특별시 노원구 상계동 일대 ","02-950-3900","","","","","4호선 당고개 도보 15분 7호선 수락산 1번출구(수락골), 3번출구(노원골)"
"16320","ko","낙산공원 야경","03085 서울특별시 종로구 동숭동 산2-10 ","03085 서울특별시 종로구 낙산길 41 ","02-743-7985","http://parks.seoul.go.kr/template/sub/naksan.do","","","",""
"16322","ko","하늘공원 야경","121-832 서울 마포구 상암동 482 ","03900 서울 마포구 하늘공원로 95 (상암동, 탐방객안내소) ","02-300-5501","http://parks.seoul.go.kr/template/sub/worldcuppark.do","매일 05:00 - 22:00 월마다 유동적 ※ 하늘공원은 서울시 야생동식물 보호구역으로 이용시민 안전과 시설물 보호를 위하여 야간이용 제한 (일몰시간에 따라 매달 통제시간이 달라지니 홈페이지에서 확인 부탁드립니다.)","","","경의중앙선 디지털미디어시티역 8번 출구 공항철도 디지털미디어시티역 8번 출구"
"16324","ko","북악산 야경"," 서울 종로구 평창동 산 6-17 ","03010 서울 종로구 북악산로 267 (평창동, 북악팔각정) ","02-730-9924","","07:00 ~ 18:00 (16시까지 입산 / 3~4월, 9~10월) 07:00 ~ 19:00 (17시까지 입산 / 5~8월) 09:00 ~ 17:00 (15시까지 입산/ 11~2월)","매일","",""
